bioguide_id,last_name,first_name,type,party,state,district,gender,birthday,twitter,facebook,url
C001056,Cornyn,John,sen,Republican,TX,,M,1952-02-02,JohnCornyn,sen.johncornyn,https://www.cornyn.senate.gov
D000563,Durbin,Richard,sen,Democrat,IL,,M,1944-11-21,SenatorDurbin,SenatorDurbin,https://www.durbin.senate.gov
E000285,Enzi,Michael,sen,Republican,WY,,M,1944-02-01,SenatorEnzi,mikeenzi,https://www.enzi.senate.gov
G000359,Graham,Lindsey,sen,Republican,SC,,M,1955-07-09,GrahamBlog,USSenatorLindseyGraham,https://www.lgraham.senate.gov/public
I000024,Inhofe,James,sen,Republican,OK,,M,1934-11-17,InhofePress,jiminhofe,https://www.inhofe.senate.gov
M000355,McConnell,Mitch,sen,Republican,KY,,M,1942-02-20,McConnellPress,mitchmcconnell,https://www.mcconnell.senate.gov
M001176,Merkley,Jeff,sen,Democrat,OR,,M,1956-10-24,SenJeffMerkley,jeffmerkley,https://www.merkley.senate.gov
R000122,Reed,John,sen,Democrat,RI,,M,1949-11-12,SenJackReed,SenJackReed,https://www.reed.senate.gov
R000584,Risch,James,sen,Republican,ID,,M,1943-05-03,SenatorRisch,,https://www.risch.senate.gov
R000307,Roberts,Pat,sen,Republican,KS,,M,1936-04-20,SenPatRoberts,SenPatRoberts,https://www.roberts.senate.gov
S001181,Shaheen,Jeanne,sen,Democrat,NH,,F,1947-01-28,SenatorShaheen,SenatorShaheen,https://www.shaheen.senate.gov
U000039,Udall,Tom,sen,Democrat,NM,,M,1948-05-18,SenatorTomUdall,senatortomudall,https://www.tomudall.senate.gov
W000805,Warner,Mark,sen,Democrat,VA,,M,1954-12-15,MarkWarner,MarkRWarner,https://www.warner.senate.gov
G000555,Gillibrand,Kirsten,sen,Democrat,NY,,F,1966-12-09,SenGillibrand,SenKirstenGillibrand,https://www.gillibrand.senate.gov
F000457,Franken,Alan,sen,Democrat,MN,,M,1951-05-21,SenFranken,senatoralfranken,https://www.franken.senate.gov
C001088,Coons,Chris,sen,Democrat,DE,,M,1963-09-09,SenCoonsOffice,senatorchriscoons,https://www.coons.senate.gov
M001183,Manchin,Joe,sen,Democrat,WV,,M,1947-08-24,Sen_JoeManchin,JoeManchinIII,https://www.manchin.senate.gov
A000055,Aderholt,Robert,rep,Republican,AL,4,M,1965-07-22,Robert_Aderholt,RobertAderholt,https://aderholt.house.gov
A000367,Amash,Justin,rep,Republican,MI,3,M,1980-04-18,,repjustinamash,https://amash.house.gov
B001230,Baldwin,Tammy,sen,Democrat,WI,,F,1962-02-11,SenatorBaldwin,senatortammybaldwin,https://www.baldwin.senate.gov
B001269,Barletta,Lou,rep,Republican,PA,11,M,1956-01-28,RepLouBarletta,CongressmanLouBarletta,https://barletta.house.gov
B000213,Barton,Joe,rep,Republican,TX,6,M,1949-09-15,RepJoeBarton,RepJoeBarton,https://joebarton.house.gov
B001270,Bass,Karen,rep,Democrat,CA,37,F,1953-10-03,RepKarenBass,RepKarenBass,https://bass.house.gov
B001267,Bennet,Michael,sen,Democrat,CO,,M,1964-11-28,SenBennetCo,senbennetco,https://www.bennet.senate.gov
B001257,Bilirakis,Gus,rep,Republican,FL,12,M,1963-02-08,RepGusBilirakis,GusBilirakis,https://bilirakis.house.gov
B001250,Bishop,Rob,rep,Republican,UT,1,M,1951-07-13,RepRobBishop,RepRobBishop,https://robbishop.house.gov
B000490,Bishop,Sanford,rep,Democrat,GA,2,M,1947-02-04,SanfordBishop,sanfordbishop,https://bishop.house.gov
B001273,Black,Diane,rep,Republican,TN,6,F,1951-01-16,RepDianeBlack,DianeBlackTN06,https://black.house.gov
B001243,Blackburn,Marsha,rep,Republican,TN,7,F,1952-06-06,MarshaBlackburn,marshablackburn,https://blackburn.house.gov
B000574,Blumenauer,Earl,rep,Democrat,OR,3,M,1948-08-16,BlumenauerMedia,,https://blumenauer.house.gov
B001277,Blumenthal,Richard,sen,Democrat,CT,,M,1946-02-13,SenBlumenthal,SenBlumenthal,https://www.blumenthal.senate.gov
B000575,Blunt,Roy,sen,Republican,MO,,M,1950-01-10,RoyBlunt,SenatorBlunt,https://www.blunt.senate.gov/public
B001236,Boozman,John,sen,Republican,AR,,M,1950-12-10,JohnBoozman,JohnBoozman,https://www.boozman.senate.gov/public
B000755,Brady,Kevin,rep,Republican,TX,8,M,1955-04-11,RepKevinBrady,kevinbrady,https://kevinbrady.house.gov
B001227,Brady,Robert,rep,Democrat,PA,1,M,1945-04-07,RepBrady,RepRobertBrady,https://brady.house.gov
B001274,Brooks,Mo,rep,Republican,AL,5,M,1954-04-29,RepMoBrooks,RepMoBrooks,https://brooks.house.gov
B001260,Buchanan,Vern,rep,Republican,FL,16,M,1951-05-08,VernBuchanan,CongressmanBuchanan,https://buchanan.house.gov
B001275,Bucshon,Larry,rep,Republican,IN,8,M,1962-05-31,RepLarryBucshon,RepLarryBucshon,https://bucshon.house.gov
B001248,Burgess,Michael,rep,Republican,TX,26,M,1950-12-23,MichaelCBurgess,michaelcburgess,https://burgess.house.gov
B001135,Burr,Richard,sen,Republican,NC,,M,1955-11-30,SenatorBurr,SenatorRichardBurr,https://www.burr.senate.gov
B001251,Butterfield,George,rep,Democrat,NC,1,M,1947-04-27,GKButterfield,congressmangkbutterfield,https://butterfield.house.gov
C000059,Calvert,Ken,rep,Republican,CA,42,M,1953-06-08,KenCalvert,70063393423,https://calvert.house.gov
C001047,Capito,Shelley,sen,Republican,WV,,F,1953-11-26,SenCapito,senshelley,https://www.capito.senate.gov
C001037,Capuano,Michael,rep,Democrat,MA,7,M,1952-01-09,RepMikeCapuano,RepMichaelCapuano,http://capuano.house.gov
C001072,Carson,André,rep,Democrat,IN,7,M,1974-10-16,RepAndreCarson,CongressmanAndreCarson,https://carson.house.gov
C001051,Carter,John,rep,Republican,TX,31,M,1941-11-06,JudgeCarter,judgecarter,https://carter.house.gov
C001075,Cassidy,Bill,sen,Republican,LA,,M,1957-09-28,,,https://www.cassidy.senate.gov
C001066,Castor,Kathy,rep,Democrat,FL,14,F,1966-08-20,USRepKCastor,USRepKathyCastor,https://castor.house.gov
C000266,Chabot,Steve,rep,Republican,OH,1,M,1953-01-22,RepSteveChabot,RepSteveChabot,https://chabot.house.gov
C001080,Chu,Judy,rep,Democrat,CA,27,F,1953-07-07,RepJudyChu,RepJudyChu,https://chu.house.gov
C001084,Cicilline,David,rep,Democrat,RI,1,M,1961-07-15,RepCicilline,CongressmanDavidCicilline,https://cicilline.house.gov
C001067,Clarke,Yvette,rep,Democrat,NY,9,F,1964-11-21,RepYvetteClarke,repyvettedclarke,https://clarke.house.gov
C001049,Clay,Wm.,rep,Democrat,MO,1,M,1956-07-27,,109135405838588,https://lacyclay.house.gov
C001061,Cleaver,Emanuel,rep,Democrat,MO,5,M,1944-10-26,RepCleaver,emanuelcleaverii,https://cleaver.house.gov
C000537,Clyburn,James,rep,Democrat,SC,6,M,1940-07-21,Clyburn,jameseclyburn,https://clyburn.house.gov
C001077,Coffman,Mike,rep,Republican,CO,6,M,1955-03-19,RepMikeCoffman,repmikecoffman,https://coffman.house.gov
C001068,Cohen,Steve,rep,Democrat,TN,9,M,1949-05-24,RepCohen,CongressmanSteveCohen,https://cohen.house.gov
C001053,Cole,Tom,rep,Republican,OK,4,M,1949-04-28,TomColeOK04,TomColeOK04,https://cole.house.gov
C001062,Conaway,K.,rep,Republican,TX,11,M,1948-06-11,ConawayTX11,mike.conaway,https://conaway.house.gov
C001078,Connolly,Gerald,rep,Democrat,VA,11,M,1950-03-30,GerryConnolly,CongressmanGerryConnolly,https://connolly.house.gov
C000714,Conyers,John,rep,Democrat,MI,13,M,1929-05-16,RepJohnConyers,CongressmanConyers,https://conyers.house.gov
C000754,Cooper,Jim,rep,Democrat,TN,5,M,1954-06-19,RepJimCooper,JimCooper,https://cooper.house.gov
C001059,Costa,Jim,rep,Democrat,CA,16,M,1952-04-13,RepJimCosta,RepJimCosta,https://costa.house.gov
C001069,Courtney,Joe,rep,Democrat,CT,2,M,1953-04-06,RepJoeCourtney,joecourtney,https://courtney.house.gov
C000880,Crapo,Michael,sen,Republican,ID,,M,1951-05-20,MikeCrapo,mikecrapo,https://www.crapo.senate.gov
C001087,Crawford,Eric,rep,Republican,AR,1,M,1966-01-22,RepRickCrawford,RepRickCrawford,https://crawford.house.gov
C001038,Crowley,Joseph,rep,Democrat,NY,14,M,1962-03-16,RepJoeCrowley,repjoecrowley,https://crowley.house.gov
C001063,Cuellar,Henry,rep,Democrat,TX,28,M,1955-09-19,RepCuellar,152569121550,https://cuellar.house.gov
C001048,Culberson,John,rep,Republican,TX,7,M,1956-08-24,CongCulberson,CongressmanCulberson,https://culberson.house.gov
C000984,Cummings,Elijah,rep,Democrat,MD,7,M,1951-01-18,RepCummings,elijahcummings,https://cummings.house.gov
D000096,Davis,Danny,rep,Democrat,IL,7,M,1941-09-06,RepDannyDavis,CongressmanDKDavis,https://davis.house.gov
D000598,Davis,Susan,rep,Democrat,CA,53,F,1944-04-13,RepSusanDavis,RepSusanDavis,https://susandavis.house.gov
D000191,DeFazio,Peter,rep,Democrat,OR,4,M,1947-05-27,RepPeterDeFazio,RepPeterDeFazio,https://defazio.house.gov
D000197,DeGette,Diana,rep,Democrat,CO,1,F,1957-07-29,RepDianaDeGette,DianaDeGette,https://degette.house.gov
D000216,DeLauro,Rosa,rep,Democrat,CT,3,F,1943-03-02,RosaDeLauro,CongresswomanRosaDeLauro,https://delauro.house.gov
D000612,Denham,Jeff,rep,Republican,CA,10,M,1967-07-29,RepJeffDenham,RepJeffDenham,https://denham.house.gov
D000604,Dent,Charles,rep,Republican,PA,15,M,1960-05-24,RepCharlieDent,CongressmanDent,https://dent.house.gov
D000616,DesJarlais,Scott,rep,Republican,TN,4,M,1964-02-21,DesJarlaisTN04,ScottDesJarlaisTN04,https://desjarlais.house.gov
D000610,Deutch,Theodore,rep,Democrat,FL,22,M,1966-05-07,RepTedDeutch,CongressmanTedDeutch,https://teddeutch.house.gov
D000600,Diaz-Balart,Mario,rep,Republican,FL,25,M,1961-09-25,MarioDB,mdiazbalart,https://mariodiazbalart.house.gov
D000399,Doggett,Lloyd,rep,Democrat,TX,35,M,1946-10-06,RepLloydDoggett,lloyddoggett,https://doggett.house.gov
D000607,Donnelly,Joe,sen,Democrat,IN,,M,1955-09-28,SenDonnelly,senatordonnelly,https://www.donnelly.senate.gov
D000482,Doyle,Michael,rep,Democrat,PA,14,M,1953-08-05,USRepMikeDoyle,usrepmikedoyle,https://doyle.house.gov
D000614,Duffy,Sean,rep,Republican,WI,7,M,1971-10-03,RepSeanDuffy,RepSeanDuffy,https://duffy.house.gov
D000615,Duncan,Jeff,rep,Republican,SC,3,M,1966-01-07,RepJeffDuncan,RepJeffDuncan,https://jeffduncan.house.gov
D000533,Duncan,John,rep,Republican,TN,2,M,1947-07-21,RepJohnDuncanJr,CongressmanDuncan,https://duncan.house.gov
E000288,Ellison,Keith,rep,Democrat,MN,5,M,1963-08-04,KeithEllison,Keith.Ellison,https://ellison.house.gov
E000179,Engel,Eliot,rep,Democrat,NY,16,M,1947-02-18,RepEliotEngel,RepEliotLEngel,https://engel.house.gov
E000215,Eshoo,Anna,rep,Democrat,CA,18,F,1942-12-13,RepAnnaEshoo,RepAnnaEshoo,http://eshoo.house.gov
F000460,Farenthold,Blake,rep,Republican,TX,27,M,1961-12-12,Farenthold,BlakeFarenthold,https://farenthold.house.gov
F000444,Flake,Jeff,sen,Republican,AZ,,M,1962-12-31,JeffFlake,senatorjeffflake,https://www.flake.senate.gov/public
F000459,Fleischmann,Charles,rep,Republican,TN,3,M,1962-10-11,RepChuck,repchuck,https://fleischmann.house.gov
F000461,Flores,Bill,rep,Republican,TX,17,M,1954-02-25,RepBillFlores,RepBillFlores,https://flores.house.gov
F000449,Fortenberry,Jeff,rep,Republican,NE,1,M,1960-12-27,JeffFortenberry,jefffortenberry,https://fortenberry.house.gov
F000450,Foxx,Virginia,rep,Republican,NC,5,F,1943-06-29,VirginiaFoxx,RepVirginiaFoxx,https://foxx.house.gov
F000448,Franks,Trent,rep,Republican,AZ,8,M,1957-06-19,RepTrentFranks,TrentFranks,https://franks.house.gov
F000372,Frelinghuysen,Rodney,rep,Republican,NJ,11,M,1946-04-29,USRepRodney,rfrelinghuysen,https://frelinghuysen.house.gov
F000455,Fudge,Marcia,rep,Democrat,OH,11,F,1952-10-29,RepMarciaFudge,RepMarciaLFudge,https://fudge.house.gov
G000559,Garamendi,John,rep,Democrat,CA,3,M,1945-01-24,RepGaramendi,repgaramendi,https://garamendi.house.gov
G000562,Gardner,Cory,sen,Republican,CO,,M,1974-08-22,SenCoryGardner,SenCoryGardner,https://www.gardner.senate.gov
G000563,Gibbs,Bob,rep,Republican,OH,7,M,1954-06-14,RepBobGibbs,RepBobGibbs,https://gibbs.house.gov
G000552,Gohmert,Louie,rep,Republican,TX,1,M,1953-08-18,RepLouieGohmert,50375006903,https://gohmert.house.gov
G000289,Goodlatte,Bob,rep,Republican,VA,6,M,1952-09-22,RepGoodlatte,BobGoodlatte,https://goodlatte.house.gov
G000565,Gosar,Paul,rep,Republican,AZ,4,M,1958-11-22,RepGosar,repgosar,https://gosar.house.gov
G000566,Gowdy,Trey,rep,Republican,SC,4,M,1964-08-22,TGowdySC,RepTreyGowdy,https://gowdy.house.gov
G000377,Granger,Kay,rep,Republican,TX,12,F,1943-01-18,RepKayGranger,RepKayGranger,https://kaygranger.house.gov
G000386,Grassley,Charles,sen,Republican,IA,,M,1933-09-17,ChuckGrassley,grassley,https://www.grassley.senate.gov
G000546,Graves,Sam,rep,Republican,MO,6,M,1963-11-07,RepSamGraves,118514606128,https://graves.house.gov
G000560,Graves,Tom,rep,Republican,GA,14,M,1970-02-03,RepTomGraves,reptomgraves,https://tomgraves.house.gov
G000553,Green,Al,rep,Democrat,TX,9,M,1947-09-01,RepAlGreen,repalgreen,https://algreen.house.gov
G000410,Green,Gene,rep,Democrat,TX,29,M,1947-10-17,RepGeneGreen,RepGeneGreen,https://green.house.gov
G000568,Griffith,H.,rep,Republican,VA,9,M,1958-03-15,RepMGriffith,RepMorganGriffith,https://morgangriffith.house.gov
G000551,Grijalva,Raúl,rep,Democrat,AZ,3,M,1948-02-19,RepraulGrijalva,Rep.Grijalva,https://grijalva.house.gov
G000558,Guthrie,Brett,rep,Republican,KY,2,M,1964-02-18,RepGuthrie,CongressmanGuthrie,https://guthrie.house.gov
G000535,Gutiérrez,Luis,rep,Democrat,IL,4,M,1953-12-10,RepGutierrez,RepGutierrez,https://gutierrez.house.gov
H001045,Harper,Gregg,rep,Republican,MS,3,M,1956-06-01,GreggHarper,GreggHarper,https://harper.house.gov
H001052,Harris,Andy,rep,Republican,MD,1,M,1957-01-25,RepAndyHarrisMD,AndyHarrisMD,https://harris.house.gov
H001053,Hartzler,Vicky,rep,Republican,MO,4,F,1960-10-13,RepHartzler,Congresswoman.Hartzler,https://hartzler.house.gov
H000324,Hastings,Alcee,rep,Democrat,FL,20,M,1936-09-05,RepHastingsFL,95696782238,https://alceehastings.house.gov
H001046,Heinrich,Martin,sen,Democrat,NM,,M,1971-10-17,MartinHeinrich,MartinHeinrich,https://www.heinrich.senate.gov
H001036,Hensarling,Jeb,rep,Republican,TX,5,M,1957-05-29,RepHensarling,RepHensarling,https://hensarling.house.gov
H001056,Herrera Beutler,Jaime,rep,Republican,WA,3,F,1978-11-03,HerreraBeutler,herrerabeutler,https://herrerabeutler.house.gov
H001038,Higgins,Brian,rep,Democrat,NY,26,M,1959-10-06,RepBrianHiggins,RepBrianHiggins,https://higgins.house.gov
H001047,Himes,James,rep,Democrat,CT,4,M,1966-07-05,JAHimes,CongressmanJimHimes,https://himes.house.gov
H001042,Hirono,Mazie,sen,Democrat,HI,,F,1947-11-03,MazieHirono,senatorhirono,https://www.hirono.senate.gov
H001061,Hoeven,John,sen,Republican,ND,,M,1957-03-13,SenJohnHoeven,SenatorJohnHoeven,https://www.hoeven.senate.gov
H000874,Hoyer,Steny,rep,Democrat,MD,5,M,1939-06-14,WhipHoyer,WhipHoyer,https://hoyer.house.gov
H001058,Huizenga,Bill,rep,Republican,MI,2,M,1969-01-31,RepHuizenga,RepHuizenga,https://huizenga.house.gov
H001059,Hultgren,Randy,rep,Republican,IL,14,M,1966-03-01,RepHultgren,RepHultgren,https://hultgren.house.gov
H001048,Hunter,Duncan,rep,Republican,CA,50,M,1976-12-07,Rep_Hunter,DuncanHunter,https://hunter.house.gov
I000055,Isakson,John,sen,Republican,GA,,M,1944-12-28,SenatorIsakson,,https://www.isakson.senate.gov
I000056,Issa,Darrell,rep,Republican,CA,49,M,1953-11-01,DarrellIssa,darrellissa,https://issa.house.gov
J000032,Jackson Lee,Sheila,rep,Democrat,TX,18,F,1950-01-12,JacksonLeeTX18,CongresswomanSheilaJacksonLee,https://jacksonlee.house.gov
J000290,Jenkins,Lynn,rep,Republican,KS,2,F,1963-06-10,RepLynnJenkins,replynnjenkins,https://lynnjenkins.house.gov
J000292,Johnson,Bill,rep,Republican,OH,6,M,1954-11-10,RepBillJohnson,RepBillJohnson,https://billjohnson.house.gov
J000126,Johnson,Eddie,rep,Democrat,TX,30,F,1935-12-03,RepEBJ,CongresswomanEBJtx30,https://ebjohnson.house.gov
J000288,Johnson,Henry,rep,Democrat,GA,4,M,1954-10-02,RepHankJohnson,115356957005,https://hankjohnson.house.gov
J000293,Johnson,Ron,sen,Republican,WI,,M,1955-04-08,SenRonJohnson,senronjohnson,https://www.ronjohnson.senate.gov
J000174,Johnson,Sam,rep,Republican,TX,3,M,1930-10-11,SamsPressShop,RepSamJohnson,https://samjohnson.house.gov
J000255,Jones,Walter,rep,Republican,NC,3,M,1943-02-10,RepWalterJones,15083070102,https://jones.house.gov
J000289,Jordan,Jim,rep,Republican,OH,4,M,1964-02-17,Jim_Jordan,repjimjordan,https://jordan.house.gov
K000009,Kaptur,Marcy,rep,Democrat,OH,9,F,1946-06-17,RepMarcyKaptur,RepresentativeMarcyKaptur,https://kaptur.house.gov
K000375,Keating,William,rep,Democrat,MA,9,M,1952-09-06,USRepKeating,Congressman.Keating,https://keating.house.gov
K000376,Kelly,Mike,rep,Republican,PA,3,M,1948-05-10,MikeKellyPA,191056827594903,https://kelly.house.gov
K000188,Kind,Ron,rep,Democrat,WI,3,M,1963-03-16,RepRonKind,repronkind,https://kind.house.gov
K000210,King,Peter,rep,Republican,NY,2,M,1944-04-05,RepPeteKing,,https://peteking.house.gov
K000362,King,Steve,rep,Republican,IA,4,M,1949-05-28,SteveKingIA,stevekingia,https://steveking.house.gov
K000378,Kinzinger,Adam,rep,Republican,IL,16,M,1978-02-27,RepKinzinger,RepKinzinger,https://kinzinger.house.gov
L000573,Labrador,Raúl,rep,Republican,ID,1,M,1967-12-08,Raul_Labrador,raul.r.labrador,https://labrador.house.gov
L000564,Lamborn,Doug,rep,Republican,CO,5,M,1954-05-24,RepDLamborn,CongressmanDougLamborn,https://lamborn.house.gov
L000567,Lance,Leonard,rep,Republican,NJ,7,M,1952-06-25,RepLanceNJ7,CongressmanLance,https://lance.house.gov
L000559,Langevin,James,rep,Democrat,RI,2,M,1964-04-22,JimLangevin,CongressmanJimLangevin,https://langevin.house.gov
L000575,Lankford,James,sen,Republican,OK,,M,1968-03-04,SenatorLankford,SenatorLankford,https://www.lankford.senate.gov
L000560,Larsen,Rick,rep,Democrat,WA,2,M,1965-06-15,RepRickLarsen,RepRickLarsen,https://larsen.house.gov
L000557,Larson,John,rep,Democrat,CT,1,M,1948-07-22,RepJohnLarson,RepJohnLarson,https://larson.house.gov
L000566,Latta,Robert,rep,Republican,OH,5,M,1956-04-18,BobLatta,boblatta,https://latta.house.gov
L000174,Leahy,Patrick,sen,Democrat,VT,,M,1940-03-31,SenatorLeahy,SenatorPatrickLeahy,https://www.leahy.senate.gov
L000551,Lee,Barbara,rep,Democrat,CA,13,F,1946-07-16,RepBarbaraLee,RepBarbaraLee,https://lee.house.gov
L000577,Lee,Mike,sen,Republican,UT,,M,1971-06-04,SenMikeLee,senatormikelee,https://www.lee.senate.gov/public
L000263,Levin,Sander,rep,Democrat,MI,9,M,1931-09-06,RepSandyLevin,RepSandyLevin,https://levin.house.gov
L000287,Lewis,John,rep,Democrat,GA,5,M,1940-02-21,RepJohnLewis,RepJohnLewis,https://johnlewis.house.gov
L000563,Lipinski,Daniel,rep,Democrat,IL,3,M,1966-07-15,RepLipinski,repdanlipinski,https://lipinski.house.gov
L000554,LoBiondo,Frank,rep,Republican,NJ,2,M,1946-05-12,RepLoBiondo,FrankLoBiondo,https://lobiondo.house.gov
L000565,Loebsack,David,rep,Democrat,IA,2,M,1952-12-23,DaveLoebsack,DaveLoebsack,https://loebsack.house.gov
L000397,Lofgren,Zoe,rep,Democrat,CA,19,F,1947-12-21,RepZoeLofgren,zoelofgren,https://lofgren.house.gov
L000576,Long,Billy,rep,Republican,MO,7,M,1955-08-11,USRepLong,Rep.Billy.Long,https://long.house.gov
L000480,Lowey,Nita,rep,Democrat,NY,17,F,1937-07-05,NitaLowey,RepLowey,https://lowey.house.gov
L000491,Lucas,Frank,rep,Republican,OK,3,M,1960-01-06,RepFrankLucas,RepFrankLucas,https://lucas.house.gov
L000569,Luetkemeyer,Blaine,rep,Republican,MO,3,M,1952-05-07,RepBlainePress,BlaineLuetkemeyer,https://luetkemeyer.house.gov
L000570,Luján,Ben,rep,Democrat,NM,3,M,1972-06-07,RepBenRayLujan,RepBenRayLujan,https://lujan.house.gov
L000562,Lynch,Stephen,rep,Democrat,MA,8,M,1955-03-31,RepStephenLynch,repstephenlynch,https://lynch.house.gov
M000087,Maloney,Carolyn,rep,Democrat,NY,12,F,1946-02-19,RepMaloney,RepCarolynMaloney,https://maloney.house.gov
M001158,Marchant,Kenny,rep,Republican,TX,24,M,1951-02-23,RepKenMarchant,RepKennyMarchant,https://marchant.house.gov
M001179,Marino,Tom,rep,Republican,PA,10,M,1952-08-15,RepTomMarino,CongressmanMarino,https://marino.house.gov
M000133,Markey,Edward,sen,Democrat,MA,,M,1946-07-11,SenMarkey,EdJMarkey,https://www.markey.senate.gov
M001163,Matsui,Doris,rep,Democrat,CA,6,F,1944-09-25,DorisMatsui,doris.matsui,http://matsui.house.gov
M000303,McCain,John,sen,Republican,AZ,,M,1936-08-29,SenJohnMcCain,johnmccain,https://www.mccain.senate.gov
M001165,McCarthy,Kevin,rep,Republican,CA,23,M,1965-01-26,GOPLeader,CongressmanKevinMcCarthy,https://kevinmccarthy.house.gov
M001157,McCaul,Michael,rep,Republican,TX,10,M,1962-01-14,RepMcCaul,michaeltmccaul,https://mccaul.house.gov
M001177,McClintock,Tom,rep,Republican,CA,4,M,1956-07-10,RepMcClintock,81125319109,https://mcclintock.house.gov
M001143,McCollum,Betty,rep,Democrat,MN,4,F,1954-07-12,BettyMcCollum04,repbettymccollum,https://mccollum.house.gov
M000312,McGovern,James,rep,Democrat,MA,2,M,1959-11-20,RepMcGovern,RepJimMcGovern,https://mcgovern.house.gov
M001156,McHenry,Patrick,rep,Republican,NC,10,M,1975-10-22,PatrickMcHenry,CongressmanMcHenry,https://mchenry.house.gov
M001180,McKinley,David,rep,Republican,WV,1,M,1947-03-28,RepMcKinley,RepMcKinley,https://mckinley.house.gov
M001159,McMorris Rodgers,Cathy,rep,Republican,WA,5,F,1969-05-22,CathyMcMorris,mcmorrisrodgers,https://mcmorris.house.gov
M001166,McNerney,Jerry,rep,Democrat,CA,9,M,1951-06-18,RepMcNerney,jerrymcnerney,https://mcnerney.house.gov
M001181,Meehan,Patrick,rep,Republican,PA,7,M,1955-10-20,RepMeehan,CongressmanPatrickMeehan,https://meehan.house.gov
M001137,Meeks,Gregory,rep,Democrat,NY,5,M,1953-09-25,RepGregoryMeeks,gregorymeeksny05,https://meeks.house.gov
M001160,Moore,Gwen,rep,Democrat,WI,4,F,1951-04-18,RepGwenMoore,GwenSMoore,https://gwenmoore.house.gov
M000934,Moran,Jerry,sen,Republican,KS,,M,1954-05-29,JerryMoran,jerrymoran,https://www.moran.senate.gov
M001153,Murkowski,Lisa,sen,Republican,AK,,F,1957-05-22,LisaMurkowski,SenLisaMurkowski,https://www.murkowski.senate.gov
M001169,Murphy,Christopher,sen,Democrat,CT,,M,1973-08-03,senmurphyoffice,chrismurphyct,https://www.murphy.senate.gov
M001111,Murray,Patty,sen,Democrat,WA,,F,1950-10-11,PattyMurray,,https://www.murray.senate.gov/public
N000002,Nadler,Jerrold,rep,Democrat,NY,10,M,1947-06-13,RepJerryNadler,CongressmanNadler,https://nadler.house.gov
N000179,Napolitano,Grace,rep,Democrat,CA,32,F,1936-12-04,GraceNapolitano,RepGraceNapolitano,https://napolitano.house.gov
N000015,Neal,Richard,rep,Democrat,MA,1,M,1949-02-14,RepRichardNeal,reprichardneal,https://neal.house.gov
N000184,Noem,Kristi,rep,Republican,SD,0,F,1971-11-30,RepKristiNoem,,https://noem.house.gov
